Num.RBD,geometry,x,y,values
6053,POINT (260685.3032956957 5642831.115274926),260685.3032956957,5642831.115274926,-121360035.95513833
19996,POINT (264501.0000768034 5643838.000535287),264501.0000768034,5643838.000535287,-121288261.26966223
20153,POINT (252322.00013529527 5645390.000195836),252322.00013529527,5645390.000195836,-121502304.41158514
6056,POINT (249887.7736241956 5646054.937960529),249887.7736241956,5646054.937960529,-121543940.88370092
6082,POINT (261281.00034173962 5647625.001152499),261281.00034173962,5647625.001152499,-121334257.19069543
6077,POINT (253198.00067275207 5648883.000979095),253198.00067275207,5648883.000979095,-121475523.04289928
884833,POINT (246352.19621927378 5647003.3255031435),246352.19621927378,5647003.3255031435,-121604451.92882985
6052,POINT (244349.34812837408 5647637.439601717),244349.34812837408,5647637.439601717,-121638412.63080584
20139,POINT (246202.2427268231 5647731.394547857),246202.2427268231,5647731.394547857,-121604833.32623196
20121,POINT (244623.000414882 5647769.000237224),244623.000414882,5647769.000237224,-121633079.25580218
887296,POINT (246388.0512364064 5647923.580536336),246388.0512364064,5647923.580536336,-121600885.59803401
6072,POINT (243927.31147889583 5648090.267148995),243927.31147889583,5648090.267148995,-121644552.4354914
6070,POINT (243557.1449614403 5648147.430088714),243557.1449614403,5648147.430088714,-121651018.63231951
6051,POINT (244220.9094533601 5648258.919424927),244220.9094533601,5648258.919424927,-121638743.15382712
6071,POINT (243083.09781849047 5648525.279622577),243083.09781849047,5648525.279622577,-121658329.68849337
5970,POINT (233120.00826929812 5670350.0523026055),233120.00826929812,5670350.0523026055,-121767417.57895565
6060,POINT (256566.95707443147 5649633.947903594),256566.95707443147,5649633.947903594,-121412635.17919558
6062,POINT (260527.95743715248 5650635.980549197),260527.95743715248,5650635.980549197,-121338328.1198566
6054,POINT (248067.32401465694 5650250.078283973),248067.32401465694,5650250.078283973,-121563345.68921196
6066,POINT (256961.08340688737 5652934.060286936),256961.08340688737,5652934.060286936,-121395162.16603102
6076,POINT (256354.0008240201 5657503.001040017),256354.0008240201,5657503.001040017,-121391678.33808227
6069,POINT (261795.2535542519 5658138.833037573),261795.2535542519,5658138.833037573,-121292029.17546377
6003,POINT (259083.00061237137 5669677.0007605525),259083.00061237137,5669677.0007605525,-121304507.39109416
5963,POINT (264472.2649739542 5672898.981095177),264472.2649739542,5672898.981095177,-121197868.36453027
5977,POINT (247953.00904691804 5687320.826749259),247953.00904691804,5687320.826749259,-121448275.55413078
